sr_number,raw_address,house,direction,street_name,street_type,address_key
SR26-00128024,12900 S TORRENCE AVE,12900,S,TORRENCE,AVE,12900 S TORRENCE AVE
SR26-00128026,7206 W GRACE ST,7206,W,GRACE,ST,7206 W GRACE ST
SR26-00128060,13000 S TORRENCE AVE,13000,S,TORRENCE,AVE,13000 S TORRENCE AVE
SR26-00128061,5384 N BOWMANVILLE AVE,5384,N,BOWMANVILLE,AVE,5384 N BOWMANVILLE AVE
SR26-00128073,13100 S BRAINARD AVE,13100,S,BRAINARD,AVE,13100 S BRAINARD AVE
SR26-00128074,3849 N ORIOLE AVE,3849,N,ORIOLE,AVE,3849 N ORIOLE AVE
SR26-00128082,13200 S BRAINARD AVE,13200,S,BRAINARD,AVE,13200 S BRAINARD AVE
SR26-00128094,2920 E 133RD ST,2920,E,133RD,ST,2920 E 133RD ST
SR26-00128103,3058 E 133RD ST,3058,E,133RD,ST,3058 E 133RD ST
SR26-00128104,1052 W NORTH AVE,1052,W,NORTH,AVE,1052 W NORTH AVE
SR26-00128115,13232 S CARONDOLET AVE,13232,S,CARONDOLET,AVE,13232 S CARONDOLET AVE
SR26-00128121,13201 S ELLIS AVE,13201,S,ELLIS,AVE,13201 S ELLIS AVE
SR19-01853001,,,,,,
SR26-00128128,13310 S CORLISS AVE,13310,S,CORLISS,AVE,13310 S CORLISS AVE
SR26-00128136,1151 W WASHINGTON BLVD,1151,W,WASHINGTON,BLVD,1151 W WASHINGTON BLVD
SR26-00128137,700 E 133RD ST,700,E,133RD,ST,700 E 133RD ST
SR26-00128142,13106 S FORRESTVILLE AVE,13106,S,FORRESTVILLE,AVE,13106 S FORRESTVILLE AVE
SR26-00128155,8112 S VINCENNES AVE,8112,S,VINCENNES,AVE,8112 S VINCENNES AVE
SR26-00128165,3102 W MONTROSE AVE,3102,W,MONTROSE,AVE,3102 W MONTROSE AVE
SR26-00128176,3002 W MONTROSE AVE,3002,W,MONTROSE,AVE,3002 W MONTROSE AVE
SR26-00128179,5334 S LONG AVE,5334,S,LONG,AVE,5334 S LONG AVE
SR26-00128180,10909 S PROSPECT AVE,10909,S,PROSPECT,AVE,10909 S PROSPECT AVE
SR26-00128187,5819 S ST LOUIS AVE,5819,S,ST LOUIS,AVE,5819 S ST LOUIS AVE
SR26-00128188,11000 S PROSPECT AVE,11000,S,PROSPECT,AVE,11000 S PROSPECT AVE
SR26-00128195,11200 S LONGWOOD DR,11200,S,LONGWOOD,DR,11200 S LONGWOOD DR
SR26-00128198,11600 S LONGWOOD DR,11600,S,LONGWOOD,DR,11600 S LONGWOOD DR
SR26-00128200,11700 S LONGWOOD DR,11700,S,LONGWOOD,DR,11700 S LONGWOOD DR
SR26-00128208,1530 W 105TH ST,1530,W,105TH,ST,1530 W 105TH ST
SR26-00128209,9618 S CHAPPEL AVE,9618,S,CHAPPEL,AVE,9618 S CHAPPEL AVE
SR26-00128220,10925 S WOOD ST,10925,S,WOOD,ST,10925 S WOOD ST
SR26-00128240,3600 W MONTROSE AVE,3600,W,MONTROSE,AVE,3600 W MONTROSE AVE
SR26-00128243,3745 W IRVING PARK RD,3745,W,IRVING PARK,RD,3745 W IRVING PARK RD
SR26-00128247,10100 S AVENUE  M,10100,S,AVENUE M,,10100 S AVENUE M
SR26-00128254,3930 W MONTROSE AVE,3930,W,MONTROSE,AVE,3930 W MONTROSE AVE
SR26-00128255,4823 W WABANSIA AVE,4823,W,WABANSIA,AVE,4823 W WABANSIA AVE
SR26-00128260,3901 W MONTROSE AVE,3901,W,MONTROSE,AVE,3901 W MONTROSE AVE
SR26-00128261,3734 N PINE GROVE AVE,3734,N,PINE GROVE,AVE,3734 N PINE GROVE AVE
SR26-00128276,6343 W BYRON ST,6343,W,BYRON,ST,6343 W BYRON ST
SR26-00128290,3851 N OAKLEY AVE,3851,N,OAKLEY,AVE,3851 N OAKLEY AVE
SR26-00128295,3913 N OAKLEY AVE,3913,N,OAKLEY,AVE,3913 N OAKLEY AVE
SR26-00128327,5354 W SCHOOL ST,5354,W,SCHOOL,ST,5354 W SCHOOL ST
SR26-00128333,3416 N SPRINGFIELD AVE,3416,N,SPRINGFIELD,AVE,3416 N SPRINGFIELD AVE
SR26-00128355,3835 W FILLMORE ST,3835,W,FILLMORE,ST,3835 W FILLMORE ST
SR26-00128364,3074 N MILWAUKEE AVE,3074,N,MILWAUKEE,AVE,3074 N MILWAUKEE AVE
SR26-00128387,2952 N HALSTED ST,2952,N,HALSTED,ST,2952 N HALSTED ST
SR26-00128462,5200 N SAWYER AVE,5200,N,SAWYER,AVE,5200 N SAWYER AVE
SR26-00128489,3048 N MENARD AVE,3048,N,MENARD,AVE,3048 N MENARD AVE
SR26-00128496,29 S AUSTIN BLVD,29,S,AUSTIN,BLVD,29 S AUSTIN BLVD
SR26-00128499,7937 S JEFFERY BLVD,7937,S,JEFFERY,BLVD,7937 S JEFFERY BLVD
SR26-00128503,7061 S CICERO AVE,7061,S,CICERO,AVE,7061 S CICERO AVE
SR26-00128562,7937 S JEFFERY BLVD,7937,S,JEFFERY,BLVD,7937 S JEFFERY BLVD
SR26-00128573,6211 S WHIPPLE ST,6211,S,WHIPPLE,ST,6211 S WHIPPLE ST
SR26-00128583,7908 S STONY ISLAND AVE,7908,S,STONY ISLAND,AVE,7908 S STONY ISLAND AVE
SR26-00128594,6300 S JEAN BAPTISTE POINTE DUSABLE LAKE SHORE DR,6300,S,JEAN BAPTISTE POINTE DUSABLE LAKE SHORE,DR,6300 S JEAN BAPTISTE POINTE DUSABLE LAKE SHORE DR
SR26-00128603,2280 N MILWAUKEE,2280,N,MILWAUKEE,,2280 N MILWAUKEE
SR26-00128622,2957 N AUSTIN AVE,2957,N,AUSTIN,AVE,2957 N AUSTIN AVE
SR26-00128632,2449 N MONITOR AVE,2449,N,MONITOR,AVE,2449 N MONITOR AVE
SR26-00128652,5558 N LSD BRYN MAWR AV XR,5558,N,LSD BRYN MAWR AV,XR,5558 N LSD BRYN MAWR AV XR
SR26-00128653,4928 S CAMPBELL AVE,4928,S,CAMPBELL,AVE,4928 S CAMPBELL AVE
SR26-00128667,2580S S PRAIRIE AVE,2580S,S,PRAIRIE,AVE,2580S S PRAIRIE AVE
SR26-00128720,4100 S ASHLAND AVE,4100,S,ASHLAND,AVE,4100 S ASHLAND AVE
SR26-00128722,8219 S MANISTEE AVE,8219,S,MANISTEE,AVE,8219 S MANISTEE AVE
SR26-00128723,1724 N HARDING AVE,1724,N,HARDING,AVE,1724 N HARDING AVE
SR26-00128732,3581 W BELDEN AVE,3581,W,BELDEN,AVE,3581 W BELDEN AVE
SR26-00128743,8144 S COLFAX AVE,8144,S,COLFAX,AVE,8144 S COLFAX AVE
SR26-00128754,4815 W NELSON ST,4815,W,NELSON,ST,4815 W NELSON ST
SR26-00128763,7137 N CLARK ST,7137,N,CLARK,ST,7137 N CLARK ST
SR26-00128798,4644 N MARINE DR,4644,N,MARINE,DR,4644 N MARINE DR
SR26-00128800,9400 S CALUMET AVE,9400,S,CALUMET,AVE,9400 S CALUMET AVE
SR26-00128801,2740 W MONROE ST,2740,W,MONROE,ST,2740 W MONROE ST
SR26-00128838,3800 S PULASKI RD,3800,S,PULASKI,RD,3800 S PULASKI RD
SR26-00128841,1301 N WALLER AVE,1301,N,WALLER,AVE,1301 N WALLER AVE
SR26-00128855,3707 N PINE GROVE AVE,3707,N,PINE GROVE,AVE,3707 N PINE GROVE AVE
SR26-00128879,3100 W 59TH ST,3100,W,59TH,ST,3100 W 59TH ST
SR26-00128885,7204 S PAULINA ST,7204,S,PAULINA,ST,7204 S PAULINA ST
SR26-00128891,10500 S AVENUE  M,10500,S,AVENUE M,,10500 S AVENUE M
SR26-00128898,5622 N NATOMA AVE,5622,N,NATOMA,AVE,5622 N NATOMA AVE
SR26-00128946,9927 S LASALLE ST,9927,S,LASALLE,ST,9927 S LASALLE ST
SR26-00128963,2700 W CORTLAND ST,2700,W,CORTLAND,ST,2700 W CORTLAND ST
SR26-00129023,2856 N FRANCISCO AVE,2856,N,FRANCISCO,AVE,2856 N FRANCISCO AVE
SR26-00129035,4530 N MONTICELLO AVE,4530,N,MONTICELLO,AVE,4530 N MONTICELLO AVE
SR26-00129051,5023 S KNOX AVE,5023,S,KNOX,AVE,5023 S KNOX AVE
SR26-00129069,4062 W FOSTER AVE,4062,W,FOSTER,AVE,4062 W FOSTER AVE
SR26-00129080,9621 S ESCANABA AVE,9621,S,ESCANABA,AVE,9621 S ESCANABA AVE
SR26-00129098,2329 N LATROBE AVE,2329,N,LATROBE,AVE,2329 N LATROBE AVE
SR26-00129099,6251 N MCCORMICK RD,6251,N,MCCORMICK,RD,6251 N MCCORMICK RD
SR26-00129105,2200 W BERWYN AVE,2200,W,BERWYN,AVE,2200 W BERWYN AVE
SR26-00129128,3700 N GREENVIEW AVE,3700,N,GREENVIEW,AVE,3700 N GREENVIEW AVE
SR26-00129134,6600 S STATE ST,6600,S,STATE,ST,6600 S STATE ST
SR26-00129159,1624 W GARFIELD BLVD,1624,W,GARFIELD,BLVD,1624 W GARFIELD BLVD
SR26-00129235,1555 E 76TH PL,1555,E,76TH,PL,1555 E 76TH PL
SR26-00129353,4806 N BERNARD ST,4806,N,BERNARD,ST,4806 N BERNARD ST
SR26-00129394,2825 N NEWLAND AVE,2825,N,NEWLAND,AVE,2825 N NEWLAND AVE
SR26-00129396,3629 W 67TH PL,3629,W,67TH,PL,3629 W 67TH PL
SR26-00129398,1746 W 35TH ST,1746,W,35TH,ST,1746 W 35TH ST
SR26-00129406,3142 W AINSLIE ST,3142,W,AINSLIE,ST,3142 W AINSLIE ST
SR26-00129429,3146 N RIDGEWAY AVE,3146,N,RIDGEWAY,AVE,3146 N RIDGEWAY AVE
SR26-00129442,5034 W HENDERSON ST,5034,W,HENDERSON,ST,5034 W HENDERSON ST
SR26-00129494,5559 N NORTH SHORE CHANNEL,5559,N,NORTH SHORE CHANNEL,,5559 N NORTH SHORE CHANNEL
SR26-00129525,4454 N AVERS AVE,4454,N,AVERS,AVE,4454 N AVERS AVE
SR26-00129531,4042 W 58TH ST,4042,W,58TH,ST,4042 W 58TH ST
SR26-00129535,2206 W MARQUETTE RD,2206,W,MARQUETTE,RD,2206 W MARQUETTE RD
SR26-00129547,6459 S KARLOV AVE,6459,S,KARLOV,AVE,6459 S KARLOV AVE
SR26-00129560,6222 S WHIPPLE ST,6222,S,WHIPPLE,ST,6222 S WHIPPLE ST
SR26-00129575,13400 S AVENUE  K,13400,S,AVENUE K,,13400 S AVENUE K
SR26-00129625,6637 S CLAREMONT AVE,6637,S,CLAREMONT,AVE,6637 S CLAREMONT AVE
SR26-00129627,6055W W FLETCHER ST,6055W,W,FLETCHER,ST,6055W W FLETCHER ST
SR26-00129632,420 S PULASKI RD,420,S,PULASKI,RD,420 S PULASKI RD
SR26-00129636,2141 N LAPORTE AVE,2141,N,LAPORTE,AVE,2141 N LAPORTE AVE
SR26-00129641,3172 N SHERIDAN RD,3172,N,SHERIDAN,RD,3172 N SHERIDAN RD
SR26-00129664,4949 S CALUMET AVE,4949,S,CALUMET,AVE,4949 S CALUMET AVE
SR26-00129697,6219 W MELROSE ST,6219,W,MELROSE,ST,6219 W MELROSE ST
SR26-00129701,4844 W HUBBARD ST,4844,W,HUBBARD,ST,4844 W HUBBARD ST
SR26-00129749,2631 S HARDING AVE,2631,S,HARDING,AVE,2631 S HARDING AVE
SR26-00129772,1200 W 35TH ST,1200,W,35TH,ST,1200 W 35TH ST
SR26-00129835,1150 W 35TH ST,1150,W,35TH,ST,1150 W 35TH ST
SR26-00129870,1432 W WINONA ST,1432,W,WINONA,ST,1432 W WINONA ST
SR26-00129933,3152 S ASHLAND AVE,3152,S,ASHLAND,AVE,3152 S ASHLAND AVE
SR26-00129958,3951 W 71ST ST,3951,W,71ST,ST,3951 W 71ST ST
SR26-00129966,6745 N ODELL AVE,6745,N,ODELL,AVE,6745 N ODELL AVE
SR26-00129968,11753 S ELIZABETH ST,11753,S,ELIZABETH,ST,11753 S ELIZABETH ST
SR26-00129971,1806 N NAGLE AVE,1806,N,NAGLE,AVE,1806 N NAGLE AVE
SR26-00129973,3800 N NORDICA AVE,3800,N,NORDICA,AVE,3800 N NORDICA AVE
SR26-00129978,9826 S SANGAMON ST,9826,S,SANGAMON,ST,9826 S SANGAMON ST
SR26-00129984,3801 N HARLEM AVE,3801,N,HARLEM,AVE,3801 N HARLEM AVE
SR26-00129992,332 N LA SALLE DR,332,N,LA SALLE,DR,332 N LA SALLE DR
SR26-00130001,3064 E 97TH ST,3064,E,97TH,ST,3064 E 97TH ST
SR26-00130013,5434 S INGLESIDE AVE,5434,S,INGLESIDE,AVE,5434 S INGLESIDE AVE
SR26-00130020,3807 N CAMPBELL AVE,3807,N,CAMPBELL,AVE,3807 N CAMPBELL AVE
SR26-00130021,2452 W GRACE ST,2452,W,GRACE,ST,2452 W GRACE ST
SR26-00130029,6551 N SHERIDAN RD,6551,N,SHERIDAN,RD,6551 N SHERIDAN RD
SR26-00130057,713 N CICERO AVE,713,N,CICERO,AVE,713 N CICERO AVE
SR26-00130060,733 N CICERO AVE,733,N,CICERO,AVE,733 N CICERO AVE
SR26-00130061,414 E 110TH PL,414,E,110TH,PL,414 E 110TH PL
SR26-00130062,954 W BELMONT AVE,954,W,BELMONT,AVE,954 W BELMONT AVE
SR26-00130067,954 W BELMONT AVE,954,W,BELMONT,AVE,954 W BELMONT AVE
SR26-00130082,1709 W WINONA ST,1709,W,WINONA,ST,1709 W WINONA ST
SR26-00130087,5336 S HONORE ST,5336,S,HONORE,ST,5336 S HONORE ST
SR26-00130089,5115 W WRIGHTWOOD AVE,5115,W,WRIGHTWOOD,AVE,5115 W WRIGHTWOOD AVE
SR26-00130141,5338 S WOLCOTT AVE,5338,S,WOLCOTT,AVE,5338 S WOLCOTT AVE
SR26-00130150,3223 N CLARK ST,3223,N,CLARK,ST,3223 N CLARK ST
SR26-00130182,3223 N CLARK ST,3223,N,CLARK,ST,3223 N CLARK ST
SR26-00130184,853 N LARRABEE ST,853,N,LARRABEE,ST,853 N LARRABEE ST
SR26-00130212,5834 S KEDZIE AVE,5834,S,KEDZIE,AVE,5834 S KEDZIE AVE
SR26-00130283,327 N KEELER AVE,327,N,KEELER,AVE,327 N KEELER AVE
SR26-00130285,4235 W CARROLL AVE,4235,W,CARROLL,AVE,4235 W CARROLL AVE
SR26-00130296,2901 S DOCTOR MARTIN LUTHER KING JR DR,2901,S,DOCTOR MARTIN LUTHER KING JR,DR,2901 S DOCTOR MARTIN LUTHER KING JR DR
SR26-00130301,1450 W 73RD ST,1450,W,73RD,ST,1450 W 73RD ST
SR26-00130380,10146 S DR MARTIN LUTHER KING JR DR,10146,S,DR MARTIN LUTHER KING JR,DR,10146 S DR MARTIN LUTHER KING JR DR
SR26-00130390,10146 S DR MARTIN LUTHER KING JR DR,10146,S,DR MARTIN LUTHER KING JR,DR,10146 S DR MARTIN LUTHER KING JR DR
SR26-00130412,4942 N TRIPP AVE,4942,N,TRIPP,AVE,4942 N TRIPP AVE
SR26-00130443,3917 N TRIPP AVE,3917,N,TRIPP,AVE,3917 N TRIPP AVE
SR26-00130446,3827 N TRIPP AVE,3827,N,TRIPP,AVE,3827 N TRIPP AVE
SR26-00130448,3717 N TRIPP AVE,3717,N,TRIPP,AVE,3717 N TRIPP AVE
SR26-00130451,3617 N TRIPP AVE,3617,N,TRIPP,AVE,3617 N TRIPP AVE
SR26-00130459,2658 W 23RD ST,2658,W,23RD,ST,2658 W 23RD ST
SR26-00130473,430 W OHIO ST,430,W,OHIO,ST,430 W OHIO ST
SR26-00130480,5034 W HENDERSON ST,5034,W,HENDERSON,ST,5034 W HENDERSON ST
SR26-00130494,6700 S SOUTH SHORE DR,6700,S,SOUTH SHORE,DR,6700 S SOUTH SHORE DR
SR26-00130511,4115 N MOZART ST,4115,N,MOZART,ST,4115 N MOZART ST
SR26-00130529,1722 N SAWYER AVE,1722,N,SAWYER,AVE,1722 N SAWYER AVE
SR26-00130539,133 N AUSTIN AVE,133,N,AUSTIN,AVE,133 N AUSTIN AVE
SR26-00130568,2537 W PERSHING RD,2537,W,PERSHING,RD,2537 W PERSHING RD
SR26-00130583,10901 S VINCENNES AVE,10901,S,VINCENNES,AVE,10901 S VINCENNES AVE
SR26-00130586,433 S DEARBORN ST,433,S,DEARBORN,ST,433 S DEARBORN ST
SR26-00130607,11023 S G,11023,S,G,,11023 S G
SR26-00130616,5431 W DRUMMOND PL,5431,W,DRUMMOND,PL,5431 W DRUMMOND PL
SR26-00130617,1204 N HOYNE AVE,1204,N,HOYNE,AVE,1204 N HOYNE AVE
SR26-00130618,1358 N HOYNE AVE,1358,N,HOYNE,AVE,1358 N HOYNE AVE
SR26-00130624,1458 N TALMAN AVE,1458,N,TALMAN,AVE,1458 N TALMAN AVE
SR26-00130632,3263 W WARREN BLVD,3263,W,WARREN,BLVD,3263 W WARREN BLVD
SR26-00130639,433 N ALBANY AVE,433,N,ALBANY,AVE,433 N ALBANY AVE
SR26-00130640,533 N ALBANY AVE,533,N,ALBANY,AVE,533 N ALBANY AVE
SR26-00130658,315 E 130TH ST,315,E,130TH,ST,315 E 130TH ST
SR26-00130659,3137 W 79TH ST,3137,W,79TH,ST,3137 W 79TH ST
SR26-00130660,3200 W COLUMBUS AVE,3200,W,COLUMBUS,AVE,3200 W COLUMBUS AVE
SR26-00130664,3373 W COLUMBUS AVE,3373,W,COLUMBUS,AVE,3373 W COLUMBUS AVE
SR26-00130688,821 W CORNELIA AVE,821,W,CORNELIA,AVE,821 W CORNELIA AVE
SR26-00130689,8254 S EAST  EAST END AVE,8254,S,EAST EAST END,AVE,8254 S EAST EAST END AVE
SR26-00130693,1638 W 57TH ST,1638,W,57TH,ST,1638 W 57TH ST
SR26-00130694,9925 S HOYNE AVE,9925,S,HOYNE,AVE,9925 S HOYNE AVE
SR26-00130695,1922 E 84TH ST,1922,E,84TH,ST,1922 E 84TH ST
SR26-00130696,7818 S MARQUETTE AVE,7818,S,MARQUETTE,AVE,7818 S MARQUETTE AVE
SR26-00130697,8712 S ESCANABA AVE,8712,S,ESCANABA,AVE,8712 S ESCANABA AVE
SR26-00130698,3529 W BEACH AVE,3529,W,BEACH,AVE,3529 W BEACH AVE
SR26-00130699,5540 W 64TH ST,5540,W,64TH,ST,5540 W 64TH ST
SR26-00130700,1835 N NASHVILLE AVE,1835,N,NASHVILLE,AVE,1835 N NASHVILLE AVE
SR26-00130701,8020 S JEFFERY AVE,8020,S,JEFFERY,AVE,8020 S JEFFERY AVE
SR26-00130807,8205 S WENTWORTH AVE,8205,S,WENTWORTH,AVE,8205 S WENTWORTH AVE
SR26-00130829,2045 W JACKSON BLVD,2045,W,JACKSON,BLVD,2045 W JACKSON BLVD
SR26-00130831,2150 N CLYBOURN,2150,N,CLYBOURN,,2150 N CLYBOURN
SR26-00130841,6300 S MARYLAND AVE,6300,S,MARYLAND,AVE,6300 S MARYLAND AVE
SR26-00130842,6354 S COTTAGE GROVE AVE,6354,S,COTTAGE GROVE,AVE,6354 S COTTAGE GROVE AVE
SR26-00130855,5234 W SUNNYSIDE AVE,5234,W,SUNNYSIDE,AVE,5234 W SUNNYSIDE AVE
SR26-00130856,9820 S SANGAMON ST,9820,S,SANGAMON,ST,9820 S SANGAMON ST
SR26-00130858,5128 W WINDSOR AVE,5128,W,WINDSOR,AVE,5128 W WINDSOR AVE
SR26-00130879,6128 N ROGERS AVE,6128,N,ROGERS,AVE,6128 N ROGERS AVE
SR26-00130888,4806 N SPRINGFIELD AVE,4806,N,SPRINGFIELD,AVE,4806 N SPRINGFIELD AVE
SR26-00130890,6444 S DR MARTIN LUTHER KING JR DR,6444,S,DR MARTIN LUTHER KING JR,DR,6444 S DR MARTIN LUTHER KING JR DR
SR26-00130945,2045 W JACKSON BLVD,2045,W,JACKSON,BLVD,2045 W JACKSON BLVD
SR26-00130953,2404 S DAMEN AVE,2404,S,DAMEN,AVE,2404 S DAMEN AVE
SR26-00130957,8705 S MORGAN ST,8705,S,MORGAN,ST,8705 S MORGAN ST
SR26-00130974,333 S CLARK ST,333,S,CLARK,ST,333 S CLARK ST
SR26-00130979,3653 W CORTLAND ST,3653,W,CORTLAND,ST,3653 W CORTLAND ST
SR26-00130980,70 E 26TH ST,70,E,26TH,ST,70 E 26TH ST
SR26-00131000,8019 S PERRY AVE,8019,S,PERRY,AVE,8019 S PERRY AVE
SR26-00131001,8021 S PERRY AVE,8021,S,PERRY,AVE,8021 S PERRY AVE
SR26-00131010,506 E 32ND ST,506,E,32ND,ST,506 E 32ND ST
SR26-00131016,9743 S RACINE AVE,9743,S,RACINE,AVE,9743 S RACINE AVE
SR26-00131021,4850 N ST LOUIS AVE,4850,N,ST LOUIS,AVE,4850 N ST LOUIS AVE
SR26-00131030,10040 S TALMAN AVE,10040,S,TALMAN,AVE,10040 S TALMAN AVE
SR26-00131033,506 E 32ND ST,506,E,32ND,ST,506 E 32ND ST
SR26-00131040,68 E 37TH ST,68,E,37TH,ST,68 E 37TH ST
SR26-00131043,12611 S LOWE AVE,12611,S,LOWE,AVE,12611 S LOWE AVE
SR26-00131044,4307 W 63RD ST,4307,W,63RD,ST,4307 W 63RD ST
SR26-00131055,5002 S LAKE PARK AVE,5002,S,LAKE PARK,AVE,5002 S LAKE PARK AVE
SR26-00131070,5139 W WASHINGTON BLVD,5139,W,WASHINGTON,BLVD,5139 W WASHINGTON BLVD
SR26-00131075,11808 S STATE ST,11808,S,STATE,ST,11808 S STATE ST
SR26-00131086,3505 W 77TH PL,3505,W,77TH,PL,3505 W 77TH PL
SR26-00131095,7838 S SANGAMON ST,7838,S,SANGAMON,ST,7838 S SANGAMON ST
SR26-00131096,3505 W 77TH PL,3505,W,77TH,PL,3505 W 77TH PL
SR26-00131102,4200 S ASHLAND AVE,4200,S,ASHLAND,AVE,4200 S ASHLAND AVE
SR26-00131106,6700 S OGLESBY AVE,6700,S,OGLESBY,AVE,6700 S OGLESBY AVE
SR26-00131121,10530 S HAMLIN AVE,10530,S,HAMLIN,AVE,10530 S HAMLIN AVE
SR26-00131132,4163 S ASHLAND AVE,4163,S,ASHLAND,AVE,4163 S ASHLAND AVE
SR26-00131142,5653 S TRIPP AVE,5653,S,TRIPP,AVE,5653 S TRIPP AVE
SR26-00131151,135 W 110TH ST,135,W,110TH,ST,135 W 110TH ST
SR26-00131152,8402 W WINDSOR AVE,8402,W,WINDSOR,AVE,8402 W WINDSOR AVE
SR26-00131153,3522 E 100TH ST,3522,E,100TH,ST,3522 E 100TH ST
SR26-00131154,6736 N OCONTO AVE,6736,N,OCONTO,AVE,6736 N OCONTO AVE
SR26-00131160,7191 W TALCOTT AVE,7191,W,TALCOTT,AVE,7191 W TALCOTT AVE
SR26-00131163,5928 N NORTHWEST HWY,5928,N,NORTHWEST,HWY,5928 N NORTHWEST HWY
SR26-00131166,7612 W BRYN MAWR AVE,7612,W,BRYN MAWR,AVE,7612 W BRYN MAWR AVE
SR26-00131172,5525 N RAVENSWOOD AVE,5525,N,RAVENSWOOD,AVE,5525 N RAVENSWOOD AVE
SR26-00131186,2110 S WASHTENAW AVE,2110,S,WASHTENAW,AVE,2110 S WASHTENAW AVE
SR26-00131192,9600 S PARNELL AVE,9600,S,PARNELL,AVE,9600 S PARNELL AVE
SR26-00131196,2022 S WASHTENAW AVE,2022,S,WASHTENAW,AVE,2022 S WASHTENAW AVE
SR26-00131203,66 E 37TH ST,66,E,37TH,ST,66 E 37TH ST
SR26-00131227,8247 S LOOMIS BLVD,8247,S,LOOMIS,BLVD,8247 S LOOMIS BLVD
SR26-00131247,11236 S TORRENCE AVE,11236,S,TORRENCE,AVE,11236 S TORRENCE AVE
SR26-00131293,4919 S PRAIRIE AVE,4919,S,PRAIRIE,AVE,4919 S PRAIRIE AVE
SR26-00131294,4050 W FOSTER AVE,4050,W,FOSTER,AVE,4050 W FOSTER AVE
SR26-00131306,2454 N RUTHERFORD AVE,2454,N,RUTHERFORD,AVE,2454 N RUTHERFORD AVE
SR26-00131311,3734 N PINE GROVE AVE,3734,N,PINE GROVE,AVE,3734 N PINE GROVE AVE
SR26-00131321,2056 N HALSTED ST,2056,N,HALSTED,ST,2056 N HALSTED ST
SR26-00131332,2225 N ASHLAND AVE,2225,N,ASHLAND,AVE,2225 N ASHLAND AVE
SR26-00131334,1444 W 99TH ST,1444,W,99TH,ST,1444 W 99TH ST
SR26-00131355,4903 W HUBBARD ST,4903,W,HUBBARD,ST,4903 W HUBBARD ST
SR26-00131358,4446 N HERMITAGE AVE,4446,N,HERMITAGE,AVE,4446 N HERMITAGE AVE
SR26-00131369,3734 N PINE GROVE AVE,3734,N,PINE GROVE,AVE,3734 N PINE GROVE AVE
SR26-00131385,3943 S ROCKWELL ST,3943,S,ROCKWELL,ST,3943 S ROCKWELL ST
SR26-00131447,506 E 32ND ST,506,E,32ND,ST,506 E 32ND ST
SR26-00131451,6401 S HAMLIN AVE,6401,S,HAMLIN,AVE,6401 S HAMLIN AVE
SR26-00131461,8003 S ADA ST,8003,S,ADA,ST,8003 S ADA ST
SR26-00131472,4207 W DEVON AVE,4207,W,DEVON,AVE,4207 W DEVON AVE
SR26-00131477,4253 W DEVON AVE,4253,W,DEVON,AVE,4253 W DEVON AVE
SR26-00131483,4347 W DEVON AVE,4347,W,DEVON,AVE,4347 W DEVON AVE
SR26-00131487,4843 S CALUMET AVE,4843,S,CALUMET,AVE,4843 S CALUMET AVE
SR26-00131488,4427 W DEVON AVE,4427,W,DEVON,AVE,4427 W DEVON AVE
SR26-00131492,6349 N LEMONT AVE,6349,N,LEMONT,AVE,6349 N LEMONT AVE
SR26-00131494,8634 S MANISTEE AVE,8634,S,MANISTEE,AVE,8634 S MANISTEE AVE
SR26-00131496,7000 S CALUMET AVE,7000,S,CALUMET,AVE,7000 S CALUMET AVE
SR26-00131498,4715 W DEVON AVE,4715,W,DEVON,AVE,4715 W DEVON AVE
SR26-00131500,4121 W DEVON AVE,4121,W,DEVON,AVE,4121 W DEVON AVE
SR26-00131505,4114 W BYRON ST,4114,W,BYRON,ST,4114 W BYRON ST
SR26-00131508,6360 N KEYSTONE AVE,6360,N,KEYSTONE,AVE,6360 N KEYSTONE AVE
SR26-00131515,4045 W DEVON AVE,4045,W,DEVON,AVE,4045 W DEVON AVE
SR26-00131521,4243 W DEVON AVE,4243,W,DEVON,AVE,4243 W DEVON AVE
SR26-00131526,4427 W DEVON AVE,4427,W,DEVON,AVE,4427 W DEVON AVE
SR26-00131532,6349 N KOLMAR AVE,6349,N,KOLMAR,AVE,6349 N KOLMAR AVE
SR26-00131541,50 W 114TH PL,50,W,114TH,PL,50 W 114TH PL
SR26-00131556,734 N WELLS ST,734,N,WELLS,ST,734 N WELLS ST
SR26-00131559,8747 S CREGIER AVE,8747,S,CREGIER,AVE,8747 S CREGIER AVE
SR26-00131573,3759 W CORTLAND ST,3759,W,CORTLAND,ST,3759 W CORTLAND ST
SR26-00131586,5106 S MULLIGAN AVE,5106,S,MULLIGAN,AVE,5106 S MULLIGAN AVE
SR26-00131587,5106 S MULLIGAN AVE,5106,S,MULLIGAN,AVE,5106 S MULLIGAN AVE
SR26-00131594,3831 N LOCKWOOD AVE,3831,N,LOCKWOOD,AVE,3831 N LOCKWOOD AVE
SR26-00131616,7042 S RACINE AVE,7042,S,RACINE,AVE,7042 S RACINE AVE
SR26-00131675,4054 N KIMBALL AVE,4054,N,KIMBALL,AVE,4054 N KIMBALL AVE
SR26-00131692,8642 S KILPATRICK AVE,8642,S,KILPATRICK,AVE,8642 S KILPATRICK AVE
SR26-00131705,13057 S MANISTEE AVE,13057,S,MANISTEE,AVE,13057 S MANISTEE AVE
